# QuizArena researched expansion batch 05
# Fields: round<TAB>category<TAB>value<TAB>difficulty<TAB>clue<TAB>response
# Research anchors: U.S. Geological Survey ecology publications (https://www.usgs.gov/); Natural History Museum fossil and dinosaur resources (https://www.nhm.ac.uk/discover/dinosaurs.html and https://www.nhm.ac.uk/discover/how-are-fossils-formed.html).
# Research anchors: CERN's Web history (https://home.cern/science/computing/birth-web); Internet Society's Internet history (https://www.internetsociety.org/internet/history-internet/brief-history-internet/); Computer History Museum timelines (https://www.computerhistory.org/timeline/ and https://www.computerhistory.org/storageengine/); Smithsonian technology collections (https://americanhistory.si.edu/).
# ECOLOGY - 16 clues at each Round One value
r1	Ecology	200	22	A fallen tree that becomes a raised nursery for seedlings on the forest floor is known by this two-word term.	What is a nurse log?
r1	Ecology	200	22	This strip of connected habitat lets animals move between otherwise isolated natural areas.	What is a wildlife corridor?
r1	Ecology	200	22	Vegetation maintained along a stream to filter runoff and shade the water forms this kind of buffer.	What is a riparian buffer?
r1	Ecology	200	22	A fallen tree may open this sunlit break in the forest roof.	What is a canopy gap?
r1	Ecology	200	22	This shallow seasonal woodland wetland often dries before fish can colonize, making it valuable amphibian habitat.	What is a vernal pool?
r1	Ecology	200	22	Lichens, mosses, and cyanobacteria can bind desert soil into this living surface layer.	What is a biological soil crust?
r1	Ecology	200	22	A glacially formed seasonal wetland of the northern Great Plains bears this cookware-inspired name.	What is a prairie pothole?
r1	Ecology	200	22	A sunken cetacean carcass can support a succession of deep-sea scavengers as this localized ecosystem.	What is a whale-fall community?
r1	Ecology	200	22	Instead of roots, a kelp anchors itself to rock with this gripping structure.	What is a holdfast?
r1	Ecology	200	22	A female salmon excavates this gravel nest where she deposits eggs.	What is a redd?
r1	Ecology	200	22	Seaweed and other debris deposited along the high-tide line form this beach habitat.	What is the wrack line?
r1	Ecology	200	22	Ecologists call the arrival of dispersed seeds onto a site by this precipitation-like phrase.	What is seed rain?
r1	Ecology	200	22	The standing dead tree that supplies nest cavities and insects to forest wildlife is called this.	What is a snag?
r1	Ecology	200	22	Hoofed animals repeatedly visit this mineral-rich patch to obtain sodium and other nutrients.	What is a salt lick?
r1	Ecology	200	22	A mound of shells or bones left where an animal repeatedly feeds is known by this archaeological-sounding term.	What is a feeding midden?
r1	Ecology	200	22	The compact bundle of indigestible fur and bones regurgitated by a raptor has this name.	What is a cast pellet?
r1	Ecology	400	36	In this relationship, each partner benefits but can survive without the other.	What is facultative mutualism?
r1	Ecology	400	36	Fig wasps and many fig species illustrate this relationship in which partners depend on one another to reproduce.	What is obligate mutualism?
r1	Ecology	400	36	A harmless species gains protection by resembling a dangerous one in this form of mimicry.	What is Batesian mimicry?
r1	Ecology	400	36	Multiple genuinely harmful species converge on the same warning pattern in this form of mimicry.	What is Mullerian mimicry?
r1	Ecology	400	36	The model in which early colonists improve a site for later species bears this helpful name.	What is the facilitation model of succession?
r1	Ecology	400	36	Under this succession model, established colonists hinder newcomers until damage or death frees space.	What is the inhibition model of succession?
r1	Ecology	400	36	Under this succession model, later species can establish despite early colonists and eventually outlive them.	What is the tolerance model of succession?
r1	Ecology	400	36	The smaller set of conditions a species occupies after competition is its version of this kind of niche.	What is a realized niche?
r1	Ecology	400	36	The full range of conditions a species could occupy without competitors defines this kind of niche.	What is a fundamental niche?
r1	Ecology	400	36	Organisms that exploit the same class of resources in similar ways make up one of these functional groups.	What is an ecological guild?
r1	Ecology	400	36	A variable whose effect grows as a population becomes crowded, such as disease transmission, is this kind of factor.	What is a density-dependent factor?
r1	Ecology	400	36	A hurricane affects populations regardless of their crowding, so it is classified as this kind of factor.	What is a density-independent factor?
r1	Ecology	400	36	Short-lived organisms producing many offspring with little parental care are described by this life-history label.	What is r-selection?
r1	Ecology	400	36	Long-lived organisms investing heavily in relatively few young are associated with this life-history label.	What is K-selection?
r1	Ecology	400	36	Eating at more than one trophic level, as when a bear consumes both berries and salmon, is called this.	What is trophic omnivory?
r1	Ecology	400	36	Species coexist by using different portions or times of a shared food supply through this process.	What is resource partitioning?
r1	Ecology	600	51	Loss of a top predator can unleash smaller predators and intensify pressure on their prey, an outcome called this.	What is mesopredator release?
r1	Ecology	600	51	A plant flowering before its pollinator arrives because each responds differently to warming exemplifies this timing problem.	What is phenological mismatch?
r1	Ecology	600	51	An attractive-looking habitat that lowers survival or reproduction creates this deceptively named situation.	What is an ecological trap?
r1	Ecology	600	51	Below a critical abundance, difficulty finding mates may accelerate decline through this named effect.	What is the Allee effect?
